55785e_10	 Am spart ușile unei cabine și am căzut la pământ...	 Am dat buzna printre uși și am căzut.
132572e_2231	 ) spune că remediile pe bază de plante medicinale pot funcționa - planta de sunătoare vindecă depresia ușoară a unor persoane - dar plantele au și efecte secundare neplăcute.	 Saint Johnswort vindecă depresia pentru unele persoane.
116482n_2233	 Ei bine, îmi pot imagina	 Pot vedea cu claritate 
63881e_2243	 Nu cred că criza ar fi o exagerare.	 Cred că acest caz ar putea fi o criză.
113120c_2277	 După spiritualitatea mai sobră a bisericilor romanice, înălțătoarele catedrale gotice de la Chartres, Paris (Notre-Dame), Bourges și Amiens au fost, în același timp, monumente ale gloriei lui Dumnezeu și mărturii ale puterii spirituale și temporale a Bisericii Romano-Catolice.	 Catedralele de la Chartres, Paris, Bourges și Amines au fost monumente ale gloriei lui Dumnezeu și, în același timp, o mărturie a puterii pure a religiei islamice.
128981c_2282	 Adevărat, dar nu sunteți suficient.  Am fost rănit și am arătat-o. 	 Sentimentele mele nu sunt ușor de rănit. 
131432e_2301	 Din fundul cantinei a ieșit un negru de vârstă mijlocie.	 Un bărbat cu pielea închisă la culoare a ieșit din spatele cantinei.
134110n_2305	 O infectasem pe sora lui cu sămânța din pântecele meu, a spus el.	 Am infectat-o pe tânără.
40540e_2308	 Adoră să se joace și nu contează unde o arunc, ea o poate prinde, am aruncat-o sub frigider și ea se duce acolo și își bagă laba aia lungă și slabă acolo, este foarte versatilă.	 Adoră să aducă și o va lua de oriunde o arunc.
77226n_2316	 Echipele lui Parcells comit mai puține penalizări decât aproape orice echipă din campionat.	 Echipa lui Parcell este extrem de precaută în a nu comite penalități, spre deosebire de orice altă echipă din campionat. 
139835n_2367	 Gradul în care un sistem sau o componentă esteDisponibilitate operațională și accesibilă atunci când este necesar pentru utilizare, adesea exprimat ca o probabilitate.	 Se colectează informații pentru a determina disponibilitatea operațională și accesibilă.
99921n_2377	 și cred că ai dreptate... cred că ai dreptate... îmi amintesc când s-a terminat... îmi amintesc când se întorceau acasă... dar îmi amintesc sentimentul de atunci... știi, simt că acum simt că țara asta a fost în spatele acestui război...	 Țara a sprijinit războiul.
34325c_2384	 Pe tot drumul de întoarcere, inima mea nu se oprea din bătut.	 Inima mea nu mai pompa sânge. 
88569n_2397	 nu e bine până la un punct, e în regulă, știi, nu mă deranjează, nu am avut niciodată o problemă cu faptul că lasă oamenii să intre, doar că nu cred că au dreptate în unele dintre lucrurile pe care le fac.	 Nu cred că este corect să protestezi, dar nu mă deranjează ca oamenii să se alăture.
36524n_2399	 Doamna Vandemeyer a clătinat din cap.	 Doamna Vandemeyer și-a mișcat capul timp de câteva secunde. 
703n_2401	 Și au existat unele încercări de a construi portaluri politice, cum ar fi PoliticsOnline.com .  Dar, deși astfel de site-uri fac o treabă bună în ceea ce privește punerea la dispoziție a unor articole recente și a unor resurse ample, acestea nu au reușit încă să combine cele mai puternice atribute ale rețelei - capacitatea de căutare și sursele multiple de informații - cu sofisticarea politică.	 Utilizatorii ar fi mai interesați de un portal politic care să poată fi căutat în ceea ce privește sursele de informații.
120801e_2417	 Cele mai multe dintre obiectele pe care le veți găsi în Madeira, cum ar fi farfurii pictate manual, ghivece, ulcioare și borcane, provin de pe continent, dar dacă nu călătoriți în alte părți ale țării, Madeira este totuși un loc bun pentru a le cumpăra la prețuri avantajoase.	 Încă mai puteți găsi farfurii, ulcioare și borcane ieftine pictate manual la Madeira.
61724c_2427	 Oh, bine, da, tocmai am aflat că mă duc din nou la Denver duminică seara.	 Mă duc la Denver pentru prima dată în acest weekend. 
75710c_2442	 și mi-o arăta și ne uitam sub capotă și totul era frumos și curat și se vedeau cele trei bujii din față. Și am întrebat unde sunt celelalte trei.	 Am aruncat o privire sub mașină și am văzut patru bujii.
12659n_2447	 Am trecut pe lângă el cât de repede am putut, ținându-mi capul jos.	 M-am împiedicat când am sărit repede. 
45704c_2461	 Vrenna și-a continuat dansul, lovind cu piciorul în piept un bărbat și spintecând în flancul altuia.	 Vrenna a lovit cu piciorul în piept un copil mic în timp ce dansa. 
63009c_2467	 patru persoane cu bagaje și, bineînțeles, această subvenție a fost acordată acum patru ani, dar este remarcabil faptul că furgonetele mai mari sunt... șeful meu tocmai și-a cumpărat o camionetă și consumă doar 17 mile pe litru.	 Șeful meu conduce o mașină care consumă 30mpg.
38558c_2468	 The Commentariat Would Like a Nonsmoking Table, Majoritatea sondajelor sunt de acord că un sfert din populația adultă americană fumează în mod regulat.	 Comentariile solicită un tabel pentru fumători.
119661c_2470	 Barry McCaffrey, a precizat că el consideră că cele două legi sunt opera unor legalizatori de droguri înșelători și răutăcioși, care au păcălit o mulțime de oameni cu o gândire corectă.	 Barry McCaffrey vrea să legalizeze drogurile.
54478e_2504	 Nu a fost un "plug and pray" complet.	 A fost un plug and pray parțial.
140501n_2555	 Cum...de ce? 	 De ce s-a întâmplat acest lucru?
121461e_2556	 Uh-huh, aceste zdrobitoare de conserve funcționează bine?	 Sunt zdrobitorii de conserve muncitori?
120804e_2567	  Soarele a lovit aproape de orizont, aruncând în sus mase uriașe de materie.	 Soarele aterizase aproape de orizont.
80445c_2569	 San'doro s-a învârtit jos și a aruncat unul dintre pumnale răsucindu-se cap la cap.	 San'doro a înjunghiat cu un pumnal.
92985e_2619	 dar urăsc să întind materialul și să încerc să scot cât mai mult din material și să mă asigur că este pe liniile potrivite și nu pe părtinire și...	 Nu prea mă interesează procesul de aranjare.
20868c_2624	 Numai că, de data aceasta, se pare că norocul avea să-i fie favorabil.	 De data aceasta, norocul a decis să favorizeze pe altcineva. 
94283e_2627	 Problema - cealaltă jumătate a capcanei japoneze - este că, în timp ce concluzia că Japonia are nevoie de inflație rezultă din ceea ce pare a fi o logică economică impecabilă, trăim într-o epocă în care bancherii centrali cred (și se crede că ei cred) în stabilitatea prețurilor ca obiectiv prioritar.	 Bancherii centrali din Japonia presupun în totalitate că stabilitatea prețurilor este un obiectiv prioritar, dar probabil că nu este așa. 
38675e_2652	 El este Candidatul Manchurian și un țăran în călduri.	 Candidatul Manchurian este excitat,
59278n_2662	 De la Styles Court.	 Adresa de retur era Styles Court.
50423c_2673	 Știi, asta e ceea ce simt în legătură cu asta și asta e ceea ce simt, pentru că este, știi, când îi înveți când sunt mici cum vrei să fie și lucrurile care sunt importante pentru tine, apoi adaugi pe măsură ce cresc.	 lasă-i să se poarte cum vor ei când sunt tineri.
32522n_2688	 Schimbarea ar crește la 200 de dolari costul de intentare a unui proces la Curtea Superioară.	 Costul actual pentru intentarea unui proces este de 150 de dolari.
105729n_2710	 Experiența americanilor de origine asiatică poate oferi o perspectivă Pe măsură ce un număr din ce în ce mai mare de americani de origine asiatică au intrat în mainstream în ultimul deceniu, se spune din ce în ce mai des - uneori cu mândrie, alteori cu dispreț - că aceștia devin albi.	 Americanii de origine asiatică sunt jigniți de afirmația "a deveni alb".
33803c_2711	 În loc de cu New York, înlocuiți cu la.	 Nu ar trebui să o înlocuiți în altă parte, ci să o faceți cu New York.
125407c_2731	 În lucrarea lui Herbert Gutman, The Black Family in Slavery and Freedom 1750-1925 (1976), Herbert Gutman a arătat că familiile de sclavi, deși se destrămau adesea atunci când membrii erau vânduți sau repartizați pe diferite plantații, erau remarcabil de monogame și stabile.	 Lucrarea lui Gutman vorbea despre cât de disfuncționale erau familiile de sclavi.
91717n_2747	 Ziua dezamăgirii fusese o zi de miercuri.	 Miercuri a fost ziua în care totul a fost distrus.
84701e_2750	 (Ovulele nefertilizate conțin doar jumătatea de gene a mamei.	 Jumătate din genele mamei sunt transferate în ovulele nefertilizate. 
122456e_2767	 Este posibil ca el să fie vinovat.	 Nu se poate spune că nevinovăția este o certitudine absolută.
32272c_2798	 Hanukkah fericit, tuturor!	 Crăciun fericit, tuturor.
50824e_2801	 Nu mi-am dat niciodată seama, de exemplu, care a fost criza care l-a făcut pe Hick să fie îngrijorat că Eleanor îl va părăsi pe FDR în ajunul realegerii - deși este un alt amănunt de adăugat la dosarul nostru cu paralelele Clinton-Roosevelt.	 Hick a crezut că Eleanor va divorța de FDR.
73151e_2806	 Palais des Tuileries a fost distrus de un incendiu în timpul unei revolte muncitorești din 1871.	 A fost distrus de un incendiu în 1781.
119228n_2809	 Pentru lucrătorii H-2A, reprezentarea este autorizată în cazul în care lucrătorii au fost admiși și au fost prezenți în Statele Unite în temeiul unui contract H-2A, iar reprezentarea are loc în temeiul contractului H-2A.	 Lucrătorii H-2A trebuie să fie cetățeni naturalizați ai Statelor Unite.
25508c_2839	 Da, nu am un PC, dar lucrez pentru TI și ei...	 Dețin mai mult de un PC.
37363e_2869	 Deși patul datează din anii 1680, nu a fost niciodată folosit de membrii familiei regale.	 Nimeni cu sânge regal nu dormise vreodată în pat.
33384c_2881	 În iulie 1936, cea mai mare parte a armatei, condusă de generalul Francisco Franco, cu sprijinul monarhiștilor, al conservatorilor, al clerului și al grupării de dreapta Falange, s-a ridicat împotriva guvernului de la Madrid.	 Generalul Franco a avut chiar sprijinul armatei atunci când s-a ridicat împotriva guvernului.
15027n_2883	 [Hillary] stă în Trump Tower când este în New York.	 Hilary Clinton alege să stea la Trump Tower. 
104852c_2888	 Cel mai important, mișcarea populară din Indonezia nu este nici pe departe la fel de bine organizată și unită ca mișcările de opoziție din Iran sau chiar din Filipine.	 Mișcarea populară din Indonezia este mai organizată decât mișcarea de opoziție din Filipine.
131704c_2906	 Din punct de vedere tehnic, desigur, era îndreptățit, , Nu a terminat fraza. 	 Nici măcar nu a încercat să vorbească.
127460c_2940	 Atitudinea noastră actuală este un pic melodramatică.	 Trebuie să ne trezim și să acționăm dur.
101267n_2984	  Pastorii arcadieni dulci-amari ai lui Poussin; melancolicul Gilles și grațiosul Îmbarcare pentru Cythera ale lui Watteau; Libertatea călăuzind poporul al lui Dela?croix; și studiul pătrunzător al lui Courbet despre viața burgheză provincială, Funeral at Ornans.	 Courbet a studiat viața provincială în rândul oamenilor din nordul Franței.
22731e_2987	 Mi-aș fi dorit să știu despre ce este vorba."  M-am gândit la fața de țigancă a doamnei Raikes și la avertismentele lui Evelyn Howard, dar am decis cu înțelepciune să tac, în timp ce Cynthia a epuizat toate ipotezele posibile și a sperat cu bucurie: "Mătușa Emily îl va alunga și nu va mai vorbi niciodată cu el."  Eram nerăbdătoare să dau de John, dar nu era de găsit nicăieri. 	 Am vrut să vorbesc cu John, dar nu l-am putut găsi.
88116c_3002	 Cei patru băieți au strigat și au azvârlit cu sălbăticie bastoane subțiri.	 Bărbații maturi aruncau cu bastoane în jur. 
97280e_3011	 Cele două bastoane îi atârnau libere în mâini.	 S-a agățat de bețe.
72038n_3023	 Penguin, care deține drepturile de autor americane asupra cărților originale Pooh, a publicat cărți Pooh alb-negru, cărți Pooh color, cărți de povești Pooh în miniatură, Pooh în latină ( Winnie ille Pu ), Pooh pentru New Agers ( The Tao of Pooh și volumul însoțitor, The Te of Piglet ) și chiar Pooh pentru manageri.	 Penguin ar putea publica o nouă carte de povești cu Pooh.
114943e_3026	 Bine, poate că suntem gata, bine, vom vorbi cinci minute și ne vor întrerupe la sfârșit... Da, spune ce ai vrea să mănânci la o cină... se întâmplă să plănuiesc una pentru sâmbătă... îți voi spune ce voi avea...	 Plănuiesc o petrecere pentru sâmbătă.
89015c_3044	 Nu-i așa? spuse Tuppence gânditoare.	 Tuppence a răbufnit cu voce tare: "O va face!".
7918c_3050	 Rennie a râs.	 Rennie stătea acolo cu o privire serioasă.
88262c_3053	 corect, nu, cred că pentru mine este mai mult o comoditate ca ei să vină să-l ridice.	 Este mai convenabil pentru mine dacă mă ocup eu de ea. 
125093e_3054	 și cele mai multe probleme cu copiii de la școală care poartă arme și cuțite și tot ceea ce vreau să spun, Doamne Dumnezeule, ce se întâmplă cu	 Nu înțeleg de ce copiii ar avea arme în școală.
